Companies,Keywords,Search,Search Engine,Title,Link,Time Stamp,Media name
Reliance,Merger,Reliance Merger,Yahoo,IPL valuation down by 11.7% on weak media rights score,https://economictimes.indiatimes.com/industry/media/entertainment/media/ipl-valuation-down-by-11-7-on-weak-media-rights-score/articleshow/113039958.cms,,The Economic Times
Reliance,Merger,Reliance Merger,Yahoo,Bernstein’s India model portfolio got a critical update. Here's the lowdown.,https://www.livemint.com/market/stock-market-news/bernstein-india-model-portfolio-fii-foreign-investors-l-t-infosys-hdfc-bank-sbi-life-axis-bank-zomato-rec-ntpc-11725710050051.html,2024-09-09T09:00:07+05:30,Livemint
Reliance,Merger,Reliance Merger,Yahoo,"CNBC-TV18 Morning Call: Ola hints at 3-wheeler launch, Nykaa suit against ex-CBO, RIL bonus issue gets nod - CNBC TV18",https://www.cnbctv18.com/photos/market/cnbc-tv18-morning-call-ola-hints-at-3-wheeler-launch-nykaa-suit-against-ex-cbo-ril-bonus-issue-gets-nod-19471905.htm,2024-09-06T08:55:21+05:30,CNBC TV18
Reliance,Merger,Reliance Merger,Yahoo,"IPL study report: Mumbai Indians head IPL branding valuation ranking, CSK second but IPL ecosystem valuation declines by 10.6 percent",https://indianexpress.com/article/sports/cricket/ipl-study-report-mumbai-indians-head-ipl-branding-valuation-ranking-csk-second-but-ipl-ecosystem-valuation-declines-by-10-6-percent-9549459/,2024-09-04T11:53:44+05:30,Indian Express
Reliance,Merger,Reliance Merger,Yahoo,"Major Downfall For IPL As Valuation Down By 10.6%, WPL's Value Sees Massive Rise",https://www.timesnownews.com/sports/cricket/major-downfall-for-ipl-as-valuation-down-by-10-6-wpls-value-sees-massive-rise-csk-ms-dhoni-virat-kohli-rcb-cricket-news-article-113069637,2024-09-04T20:57:23+05:30,Times Now
Tata,lawsuit,Tata lawsuit,Bing,Here’s why Nykaa is suing Tata Cliq CEO Gopal Asthana,https://timesofindia.indiatimes.com/technology/tech-news/heres-why-nykaa-is-suing-tata-cliq-ceo-gopal-asthana/articleshow/113087875.cms,,Indiatimes
Tata,lawsuit,Tata lawsuit,Bing,Nykaa sues former chief business officer Gopal Asthana over alleged data misuse and breach of confidentiality,https://www.livemint.com/companies/nykaa-sues-former-chief-business-officer-gopal-asthana-data-misuse-and-breach-of-confidentiality-myntra-amazon-tata-cliq-11725529314736.html,2024-09-05T16:15:31+05:30,Mint
Tata,lawsuit,Tata lawsuit,Bing,Nykaa Files Lawsuit Against Former CBO and Current Tata Cliq CEO Asthana for Contract Violation,https://www.outlookbusiness.com/start-up/news/nykaa-files-lawsuit-against-former-cbo-and-current-tata-cliq-ceo-asthana-for-contract-violation,2024-09-05T08:29:58.160+05:30,Outlook Business
Tata,lawsuit,Tata lawsuit,Bing,"Tata Digital logs Rs 37,355 crore aggregate GMV in FY24, as turnover rises, loss narrows",https://www.msn.com/en-in/money/topstories/tata-digital-logs-rs-37-355-crore-aggregate-gmv-in-fy24-as-turnover-rises-loss-narrows/ar-AA1q7Qyc?ocid=BingNewsVerp,,MSN
Tata,lawsuit,Tata lawsuit,Bing,Tata Cliq CEO Faces Lawsuit From Nykaa For Breaching Confidentiality: Report,https://inc42.com/buzz/tata-cliq-ceo-faces-lawsuit-from-nykaa-for-breaching-confidentiality-report/,,inc42
